Receiver Time [s],Clock Bias [m],ClockDrift [m/s]
1421300194.2185168,-96356.46112267606,-60.7701019545881
1421300195.2185168,-96416.96324541062,-60.81901321494838
1421300196.2185168,-96477.4603899056,-60.86773861380904
1421300197.2185168,-96537.866012033,-60.86421698718105
1421300198.2185168,-96598.29121357329,-60.87118265080287
1421300199.2185168,-96658.81932285328,-60.895337757528715
1421300200.2185168,-96719.58580501951,-60.96773968036368
1421300201.2185168,-96780.15361562447,-60.977726418497646
1421300202.2185168,-96840.95084702896,-61.05521896347161
1421300203.2185168,-96901.80052817572,-61.136332846069
1421300204.2185168,-96962.73517608059,-61.20190340245259
1421300205.2185168,-97023.61208239506,-61.23419941229616
1421300206.2185168,-97084.32831974252,-61.22117779621226
1421300207.2185168,-97145.24686374672,-61.27453447557655
1421300208.2185168,-97206.02306660743,-61.27662657334981
1421300209.2185168,-97266.79435420067,-61.26856191582893
1421300210.2185168,-97327.63886728694,-61.29025847321096
1421300211.2185168,-97388.30063955965,-61.23664515588971
1421300212.2185168,-97448.88085012538,-61.187245966436265
1421300213.2185168,-97509.56952879435,-61.16962654886019
1421300214.2185168,-97570.36843450162,-61.2036029580425
1421300215.2185168,-97631.008192139,-61.18107427169992
1421300216.2185168,-97691.79627605999,-61.21221385516282
1421300217.2185168,-97752.36285143864,-61.192620548160754
1421300218.2185168,-97813.0219381167,-61.18384327275064
1421300219.2185168,-97874.1431607677,-61.3026467796925
1421300220.2185168,-97935.04395737364,-61.32877006680344
1421300221.2185168,-97996.15722663532,-61.400623084127275
1421300222.2185168,-98057.30193909144,-61.466518875245555
1421300223.2185168,-98118.69561164637,-61.58883326854156
1421300224.2185168,-98180.37470035824,-61.74023329030929
1421300225.2185168,-98241.86527684575,-61.808344751710244
1421300226.2185168,-98303.63505685978,-61.93019122567393
1421300227.2185168,-98365.01944551436,-61.92624742225524
1421300228.2185168,-98426.46539129505,-61.94486298550275
1421300229.2185168,-98487.9083452494,-61.957816154557925
1421300230.2185168,-98549.60193620084,-62.02073428550671
1421300231.2185168,-98611.10016044266,-62.01434295188406
1421300232.2185168,-98672.49830392576,-61.99868638596332
1421300233.2185168,-98733.86519588492,-61.96662268101511
1421300234.2185168,-98795.28062137494,-61.955749824305016
1421300235.2185168,-98856.94657821163,-62.02423556337809
1421300236.2185168,-98918.33903197177,-62.00137931275335
1421300237.2185168,-98979.8059765215,-61.98820992096873
1421300238.2185168,-99041.23004518297,-61.983020985265924
1421300239.2185168,-99102.74862307029,-62.006996473123344
1421300240.2185168,-99164.46726357743,-62.091822636286146
1421300241.2185168,-99226.25004557334,-62.162712481421586
1421300242.2185168,-99288.35356618548,-62.27643195188942
1421300243.2185168,-99350.16907230155,-62.30942707494164
1421300244.2185168,-99411.95116518391,-62.321600179835706
1421300245.2185168,-99474.05063439434,-62.39949353087205
1421300246.2185168,-99535.7518392021,-62.3721750987053
1421300247.2185168,-99597.50651957246,-62.35137157997172
1421300248.2185168,-99659.46785901283,-62.39442847044043
1421300249.2185168,-99721.282559796,-62.39215562678259
1421300250.2185168,-99783.03549664748,-62.373104245046896
1421300251.2185168,-99845.00861496704,-62.40213748421551
1421300252.2185168,-99906.97468921707,-62.43737114537437
1421300253.2185168,-99969.00991753039,-62.47950804557355
1421300254.2185168,-100031.2375757797,-62.555344939860525
1421300255.2185168,-100093.65822468896,-62.654045176462375
1421300256.2185168,-100155.76993198725,-62.66282850491103
1421300257.2185168,-100218.07293133826,-62.71116900870843
1421300258.2185168,-100280.1634640511,-62.70629932681811
1421300259.2185168,-100342.36874157155,-62.73184471172988
1421300260.2185168,-100404.69150803139,-62.765678580856985
1421300261.2185168,-100467.10809056916,-62.822294377687115
1421300262.2185168,-100529.30265963009,-62.80029945546546
1421300263.2185168,-100591.6765691762,-62.84572627725822
1421300264.2185168,-100653.99653779308,-62.865163086315604
1421300265.2185168,-100716.5301177231,-62.945021841769965
1421300266.2185168,-100779.08020529854,-62.98938282468307
1421300267.2185168,-100841.63034265889,-63.03529394453548
1421300268.2185168,-100903.99431520076,-63.00525383348556
1421300269.2185168,-100966.52530365564,-63.04012526706071
1421300270.2185168,-101028.85290331066,-63.01343682230063
1421300271.2185168,-101091.48774641908,-63.07282840868506
1421300272.2185168,-101154.23733375689,-63.15164750030666
1421300273.2185168,-101216.89136905142,-63.17352395666886
1421300274.2185168,-101279.45568625293,-63.15386636283188
1421300275.2185168,-101342.17545516985,-63.197837529096404
1421300276.2185168,-101404.65094627967,-63.18146510876643
1421300277.2185168,-101467.34333668357,-63.21102496663144
